Number of UEs,PF (0 m/s),PF (5 m/s),RR (0 m/s),RR (5 m/s),BAT (0 m/s),BAT (5 m/s),MT (0 m/s),MT (5 m/s)
1,0.805728,0.805728,0.808826,0.808364,0.803718,0.803212,0.805729,0.805729
2,0.80556,0.80556,0.807745,0.80808,0.801126,0.801646,0.805693,0.80556
3,0.805524,0.805524,0.801921,0.807885,0.781778,0.781301,0.80556,0.805559
4,0.805461,0.805491,0.801592,0.800614,0.781175,0.774455,0.805425,0.805425
5,0.80546,0.80546,0.801016,0.797398,0.7799,0.772999,0.80536,0.80536
6,0.805425,0.805442,0.788685,0.79306,0.767706,0.769766,0.805319,0.805319
7,0.805346,0.805425,0.784979,0.787353,0.7668,0.766087,0.805255,0.80522
8,0.80522,0.805349,0.78098,0.783525,0.76132,0.760929,0.80522,0.805086
9,0.805121,0.80527,0.777972,0.779992,0.750801,0.751674,0.805086,0.805086
10,0.80512,0.805197,0.776735,0.778892,0.750526,0.751108,0.805085,0.805065
11,0.805087,0.805087,0.767814,0.777669,0.745338,0.749775,0.804952,0.805007
12,0.805075,0.805066,0.761941,0.772666,0.744755,0.742381,0.80493,0.804952
13,0.805066,0.805038,0.758871,0.764105,0.731129,0.724486,0.804917,0.804917
14,0.805064,0.804975,0.746269,0.763248,0.73082,0.722465,0.804783,0.804783
15,0.805025,0.804866,0.745652,0.763061,0.722547,0.716891,0.804682,0.804613
16,0.804917,0.804731,0.735286,0.753362,0.718398,0.710274,0.804614,0.804605
17,0.804731,0.804655,0.734637,0.751621,0.713409,0.707452,0.804613,0.804552
18,0.804731,0.804614,0.720128,0.749888,0.710067,0.7073,0.804478,0.804478
19,0.804617,0.804485,0.714474,0.737481,0.706722,0.699375,0.804478,0.804478
20,0.804139,0.804138,0.710552,0.731333,0.700844,0.698665,0.772212,0.79919
