Time (s),PF,RR,BAT,MT
0.5,0.068156,0.058334,0.050578,0.000000
0.75,0.062727,0.067520,0.057654,0.000000
1,0.064011,0.067250,0.057759,0.000000
1.25,0.064011,0.067520,0.057417,0.000000
1.5,0.062730,0.066710,0.057262,0.000000
1.75,0.064011,0.066440,0.057524,0.000000
2,0.062730,0.065900,0.057549,0.000000
2.25,0.062730,0.066440,0.056607,0.000000
2.5,0.062727,0.066440,0.056644,0.000000
2.75,0.062730,0.065089,0.056581,0.000000
3,0.064011,0.065089,0.056566,0.000000
3.25,0.062730,0.063739,0.056448,0.000000
3.5,0.064011,0.065630,0.056725,0.000000
3.75,0.062730,0.063469,0.056674,0.000000
4,0.062730,0.065900,0.056575,0.000000
4.25,0.064008,0.066980,0.057500,0.000000
4.5,0.062730,0.066710,0.057190,0.000000
4.75,0.062730,0.067520,0.060809,0.000000
5,0.064011,0.067250,0.064915,0.000000
5.25,0.062730,0.066980,0.064815,0.000000
5.5,0.064011,0.066170,0.064067,0.000000
5.75,0.062730,0.065630,0.063568,0.000000
6,0.064008,0.066170,0.063794,0.000000
6.25,0.062730,0.065089,0.063930,0.000000
6.5,0.062730,0.066440,0.064890,0.000000
6.75,0.064011,0.066170,0.064906,0.000000
7,0.062730,0.066170,0.064833,0.000000
7.25,0.064011,0.066980,0.065007,0.000000
7.5,0.062730,0.066980,0.064708,0.000000
7.75,0.062727,0.066170,0.064305,0.000000
8,0.064011,0.066440,0.064638,0.000000
8.25,0.062730,0.066710,0.064662,0.000000
8.5,0.064011,0.066710,0.065182,0.000000
8.75,0.064011,0.067520,0.064876,0.000000
9,0.062730,0.067520,0.064958,0.000000
9.25,0.064011,0.067520,0.064700,0.000000
9.5,0.061447,0.067250,0.064951,0.000000
9.75,0.064011,0.067520,0.064977,0.000000
